id_partido,grupo,corto,largo,detalle,url,observaciones,
1,,CANCILLERIA,MINISTERIO DE RELACIONES EXTERIORES,,http://www.cancilleria.gob.bo/,,
2,,GOBIERNO,MINISTERIO DE GOBIERNO,,http://www.mingobierno.gob.bo/,,
3,,PRESIDENCIA,MINISTERIO DE LA PRESIDENCIA,,http://www.presidencia.gob.bo/,,
4,,ECONOMIA,MINISTERIO DE ECONOM페 Y FINANZAS P２LICAS,,http://www.economiayfinanzas.gob.bo/,,
5,,OBRAS PUBLICAS,MINISTERIO DE OBRAS P２LICAS SERVICIOS Y VIVIENDAS,,http://www.oopp.gob.bo/,,
6,,EDUCACION,MINISTERIO DE EDUCACI흁,,http://www.minedu.gob.bo/,,
7,,DEFENSA,MINISTERIO DE DEFENSA,,http://www.mindef.gob.bo/,,
8,,HIDROCARBUROS,MINISTERIO DE HIDROCARBUROS Y ENERGIA,,http://www.hidrocarburos.gob.bo/,,
9,,MINERIA,MINISTERIO DE MINERIA Y METALURGIA,,http://www.mineria.gob.bo/,,
10,,JUSTICIA,MINISTERIO DE JUSTICIA,,http://www.justicia.gob.bo/,,
11,,TRABAJO,MINISTERIO DE TRABAJO EMPLEO Y PREVISI흁 SOCIAL,,http://www.mintrabajo.gob.bo/,,
12,,MEDIO AMBIENTE,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,http://www.mmaya.gob.bo/,,
13,,DESARROLLO PRODUCTIVO,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOM페 PLURAL,,http://www.produccion.gob.bo/,,
14,,SALUD Y DEPORTES,MINISTERIO DE SALUD Y DEPORTES,,http://www.minsalud.gob.bo/,,
15,,DESARROLLO ECON흀ICO,MINISTERIO DE DESARROLLO ECON흀ICO Y MICROEMPRESA,,,DISUELTO,
16,,PLANIFICACI흁,MINISTERIO DE PLANIFICACI흁 DEL DESARROLLO,,http://www.planificacion.gob.bo/,,
17,,DESARROLLO RURAL,MINISTERIO DE DESARROLLO RURAL Y TIERRAS,,http://www.agrobolivia.gob.bo/,,
18,,AUTONOM페S,MINISTERIO DE AUTONOM페S,,http://www.autonomias.gob.bo/,,
19,,TRANSPARENCIA,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCI흁,,http://www.transparencia.gob.bo/,,
20,,DEFENSA LEGAL,MINISTERIO DE DEFENSA LEGAL DEL ESTADO,,,DISUELTO,
21,,CULTURA Y TURIMO,MINISTERIO DE CULTURAS Y TURISMO,,http://www.minculturas.gob.bo/,,
22,,COMUNICACI흁,MINISTERIO DE COMUNICACI흁,,http://www.comunicacion.gob.bo/,,
